año,tipo,valor
2004,numero,36
2004,numero,35
2004,numero,34
2004,numero,31
2004,estrella,4
2004,estrella,11
2004,numero,14
2004,numero,19
2004,numero,3
2004,numero,25
2004,numero,33
2004,estrella,12
2004,estrella,3
2004,numero,48
2004,numero,10
2004,numero,17
2004,numero,28
2004,numero,44
2004,estrella,4
2004,estrella,5
2004,numero,28
2004,numero,38
2004,numero,16
2004,numero,23
2004,numero,50
2004,estrella,4
2004,estrella,10
2004,numero,19
2004,numero,28
2004,numero,14
2004,numero,42
2004,numero,23
2004,estrella,7
2004,estrella,1
2004,numero,21
2004,numero,26
2004,numero,30
2004,numero,6
2004,numero,5
2004,estrella,1
2004,estrella,10
2004,numero,1
2004,numero,42
2004,numero,50
2004,numero,20
2004,numero,13
2004,estrella,8
2004,estrella,12
2004,numero,36
2004,numero,25
2004,numero,22
2004,numero,4
2004,numero,19
2004,estrella,9
2004,estrella,7
2004,numero,9
2004,numero,10
2004,numero,4
2004,numero,8
2004,numero,24
2004,estrella,3
2004,estrella,4
2004,numero,20
2004,numero,39
2004,numero,25
2004,numero,19
2004,numero,3
2004,estrella,6
2004,estrella,3
2004,numero,7
2004,numero,24
2004,numero,32
2004,numero,29
2004,numero,38
2004,estrella,10
2004,estrella,7
2004,numero,3
2004,numero,23
2004,numero,35
2004,numero,19
2004,numero,9
2004,estrella,1
2004,estrella,6
2004,numero,11
2004,numero,35
2004,numero,48
2004,numero,9
2004,numero,1
2004,estrella,4
2004,estrella,11
2004,numero,10
2004,numero,6
2004,numero,31
2004,numero,24
2004,numero,5
2004,estrella,6
2004,estrella,5
2004,numero,14
2004,numero,4
2004,numero,46
2004,numero,16
2004,numero,43
2004,estrella,4
2004,estrella,9
2004,numero,49
2004,numero,29
2004,numero,13
2004,numero,37
2004,numero,26
2004,estrella,10
2004,estrella,1
2004,numero,36
2004,numero,4
2004,numero,8
2004,numero,40
2004,numero,9
2004,estrella,9
2004,estrella,6
2004,numero,35
2004,numero,26
2004,numero,20
2004,numero,10
2004,numero,17
2004,estrella,2
2004,estrella,6
2004,numero,4
2004,numero,2
2004,numero,11
2004,numero,47
2004,numero,1
2004,estrella,2
2004,estrella,9
2004,numero,46
2004,numero,18
2004,numero,6
2004,numero,22
2004,numero,41
2004,estrella,7
2004,estrella,3
2004,numero,40
2004,numero,44
2004,numero,46
2004,numero,45
2004,numero,19
2004,estrella,1
2004,estrella,2
2004,numero,7
2004,numero,20
2004,numero,26
2004,numero,25
2004,numero,31
2004,estrella,7
2004,estrella,5
2004,numero,10
2004,numero,29
2004,numero,20
2004,numero,1
2004,numero,34
2004,estrella,1
2004,estrella,9
2004,numero,17
2004,numero,18
2004,numero,22
2004,numero,15
2004,numero,16
2004,estrella,6
2004,estrella,7
2005,numero,49
2005,numero,31
2005,numero,27
2005,numero,17
2005,numero,10
2005,estrella,8
2005,estrella,10
2005,numero,35
2005,numero,30
2005,numero,13
2005,numero,50
2005,numero,25
2005,estrella,12
2005,estrella,8
2005,numero,13
2005,numero,2
2005,numero,37
2005,numero,3
2005,numero,31
2005,estrella,9
2005,estrella,3
2005,numero,9
2005,numero,7
2005,numero,1
2005,numero,38
2005,numero,20
2005,estrella,2
2005,estrella,8
2005,numero,37
2005,numero,34
2005,numero,47
2005,numero,4
2005,numero,14
2005,estrella,12
2005,estrella,11
2005,numero,45
2005,numero,28
2005,numero,2
2005,numero,35
2005,numero,50
2005,estrella,11
2005,estrella,3
2005,numero,20
2005,numero,40
2005,numero,10
2005,numero,42
2005,numero,4
2005,estrella,12
2005,estrella,9
2005,numero,28
2005,numero,49
2005,numero,17
2005,numero,15
2005,numero,32
2005,estrella,1
2005,estrella,10
2005,numero,7
2005,numero,16
2005,numero,21
2005,numero,34
2005,numero,33
2005,estrella,1
2005,estrella,10
2005,numero,29
2005,numero,49
2005,numero,22
2005,numero,42
2005,numero,15
2005,estrella,10
2005,estrella,1
2005,numero,34
2005,numero,45
2005,numero,28
2005,numero,16
2005,numero,33
2005,estrella,12
2005,estrella,1
2005,numero,7
2005,numero,24
2005,numero,10
2005,numero,30
2005,numero,23
2005,estrella,3
2005,estrella,11
2005,numero,23
2005,numero,47
2005,numero,15
2005,numero,43
2005,numero,19
2005,estrella,10
2005,estrella,2
2005,numero,17
2005,numero,46
2005,numero,9
2005,numero,47
2005,numero,12
2005,estrella,10
2005,estrella,2
2005,numero,4
2005,numero,35
2005,numero,42
2005,numero,10
2005,numero,40
2005,estrella,12
2005,estrella,9
2005,numero,2
2005,numero,50
2005,numero,30
2005,numero,23
2005,numero,25
2005,estrella,10
2005,estrella,12
2005,numero,32
2005,numero,37
2005,numero,33
2005,numero,27
2005,numero,5
2005,estrella,8
2005,estrella,9
2005,numero,18
2005,numero,22
2005,numero,25
2005,numero,44
2005,numero,8
2005,estrella,4
2005,estrella,11
2005,numero,21
2005,numero,25
2005,numero,38
2005,numero,5
2005,numero,50
2005,estrella,8
2005,estrella,7
2005,numero,20
2005,numero,2
2005,numero,46
2005,numero,29
2005,numero,25
2005,estrella,7
2005,estrella,8
2005,numero,37
2005,numero,48
2005,numero,4
2005,numero,6
2005,numero,17
2005,estrella,4
2005,estrella,1
2005,numero,10
2005,numero,35
2005,numero,21
2005,numero,20
2005,numero,34
2005,estrella,4
2005,estrella,7
2005,numero,36
2005,numero,19
2005,numero,1
2005,numero,14
2005,numero,41
2005,estrella,2
2005,estrella,12
2005,numero,42
2005,numero,9
2005,numero,5
2005,numero,36
2005,numero,25
2005,estrella,11
2005,estrella,4
2005,numero,21
2005,numero,11
2005,numero,2
2005,numero,45
2005,numero,12
2005,estrella,1
2005,estrella,12
2005,numero,15
2005,numero,28
2005,numero,37
2005,numero,12
2005,numero,43
2005,estrella,12
2005,estrella,7
2005,numero,45
2005,numero,6
2005,numero,32
2005,numero,33
2005,numero,10
2005,estrella,2
2005,estrella,1
2005,numero,23
2005,numero,40
2005,numero,4
2005,numero,34
2005,numero,50
2005,estrella,12
2005,estrella,3
2005,numero,6
2005,numero,46
2005,numero,50
2005,numero,28
2005,numero,20
2005,estrella,7
2005,estrella,5
2005,numero,16
2005,numero,17
2005,numero,19
2005,numero,38
2005,numero,46
2005,estrella,9
2005,estrella,7
2005,numero,19
2005,numero,18
2005,numero,48
2005,numero,46
2005,numero,14
2005,estrella,2
2005,estrella,11
2005,numero,6
2005,numero,11
2005,numero,4
2005,numero,8
2005,numero,49
2005,estrella,5
2005,estrella,3
2005,numero,15
2005,numero,40
2005,numero,20
2005,numero,7
2005,numero,32
2005,estrella,8
2005,estrella,10
2005,numero,7
2005,numero,3
2005,numero,46
2005,numero,37
2005,numero,35
2005,estrella,7
2005,estrella,3
2005,numero,46
2005,numero,31
2005,numero,15
2005,numero,22
2005,numero,24
2005,estrella,2
2005,estrella,1
2005,numero,46
2005,numero,32
2005,numero,6
2005,numero,45
2005,numero,7
2005,estrella,5
2005,estrella,8
2005,numero,1
2005,numero,27
2005,numero,9
2005,numero,46
2005,numero,41
2005,estrella,9
2005,estrella,3
2005,numero,16
2005,numero,23
2005,numero,10
2005,numero,28
2005,numero,2
2005,estrella,6
2005,estrella,12
2005,numero,22
2005,numero,49
2005,numero,23
2005,numero,48
2005,numero,13
2005,estrella,2
2005,estrella,3
2005,numero,48
2005,numero,11
2005,numero,37
2005,numero,41
2005,numero,28
2005,estrella,1
2005,estrella,10
2005,numero,28
2005,numero,50
2005,numero,8
2005,numero,32
2005,numero,27
2005,estrella,9
2005,estrella,4
2005,numero,10
2005,numero,40
2005,numero,25
2005,numero,2
2005,numero,26
2005,estrella,7
2005,estrella,6
2005,numero,28
2005,numero,26
2005,numero,19
2005,numero,6
2005,numero,36
2005,estrella,4
2005,estrella,7
2005,numero,11
2005,numero,39
2005,numero,49
2005,numero,36
2005,numero,4
2005,estrella,8
2005,estrella,12
2005,numero,7
2005,numero,35
2005,numero,49
2005,numero,33
2005,numero,47
2005,estrella,8
2005,estrella,3
2006,numero,3
2006,numero,36
2006,numero,47
2006,numero,13
2006,numero,2
2006,estrella,4
2006,estrella,7
2006,numero,3
2006,numero,32
2006,numero,18
2006,numero,28
2006,numero,50
2006,estrella,6
2006,estrella,4
2006,numero,48
2006,numero,30
2006,numero,26
2006,numero,40
2006,numero,11
2006,estrella,8
2006,estrella,4
2006,numero,28
2006,numero,49
2006,numero,37
2006,numero,26
2006,numero,4
2006,estrella,7
2006,estrella,12
2006,numero,15
2006,numero,43
2006,numero,48
2006,numero,13
2006,numero,37
2006,estrella,7
2006,estrella,4
2006,numero,3
2006,numero,45
2006,numero,2
2006,numero,29
2006,numero,34
2006,estrella,12
2006,estrella,11
2006,numero,40
2006,numero,26
2006,numero,33
2006,numero,9
2006,numero,30
2006,estrella,2
2006,estrella,8
2006,numero,32
2006,numero,38
2006,numero,41
2006,numero,29
2006,numero,6
2006,estrella,9
2006,estrella,12
2006,numero,45
2006,numero,33
2006,numero,1
2006,numero,4
2006,numero,46
2006,estrella,8
2006,estrella,11
2006,numero,12
2006,numero,16
2006,numero,47
2006,numero,8
2006,numero,2
2006,estrella,7
2006,estrella,9
2006,numero,14
2006,numero,30
2006,numero,31
2006,numero,3
2006,numero,27
2006,estrella,1
2006,estrella,4
2006,numero,18
2006,numero,47
2006,numero,32
2006,numero,34
2006,numero,10
2006,estrella,3
2006,estrella,12
2006,numero,47
2006,numero,2
2006,numero,12
2006,numero,37
2006,numero,5
2006,estrella,5
2006,estrella,3
2006,numero,45
2006,numero,31
2006,numero,13
2006,numero,43
2006,numero,32
2006,estrella,1
2006,estrella,10
2006,numero,46
2006,numero,16
2006,numero,5
2006,numero,30
2006,numero,50
2006,estrella,2
2006,estrella,12
2006,numero,47
2006,numero,39
2006,numero,5
2006,numero,25
2006,numero,34
2006,estrella,12
2006,estrella,3
2006,numero,13
2006,numero,37
2006,numero,4
2006,numero,47
2006,numero,2
2006,estrella,7
2006,estrella,10
2006,numero,14
2006,numero,47
2006,numero,29
2006,numero,44
2006,numero,22
2006,estrella,3
2006,estrella,8
2006,numero,41
2006,numero,39
2006,numero,50
2006,numero,12
2006,numero,9
2006,estrella,4
2006,estrella,10
2006,numero,34
2006,numero,45
2006,numero,46
2006,numero,37
2006,numero,5
2006,estrella,9
2006,estrella,7
2006,numero,33
2006,numero,11
2006,numero,26
2006,numero,40
2006,numero,27
2006,estrella,4
2006,estrella,5
2006,numero,19
2006,numero,29
2006,numero,50
2006,numero,49
2006,numero,1
2006,estrella,2
2006,estrella,8
2006,numero,30
2006,numero,16
2006,numero,46
2006,numero,43
2006,numero,12
2006,estrella,5
2006,estrella,1
2006,numero,47
2006,numero,50
2006,numero,30
2006,numero,14
2006,numero,36
2006,estrella,5
2006,estrella,10
2006,numero,35
2006,numero,46
2006,numero,39
2006,numero,1
2006,numero,43
2006,estrella,10
2006,estrella,3
2006,numero,28
2006,numero,22
2006,numero,16
2006,numero,29
2006,numero,2
2006,estrella,12
2006,estrella,7
2006,numero,18
2006,numero,7
2006,numero,9
2006,numero,3
2006,numero,22
2006,estrella,8
2006,estrella,1
2006,numero,5
2006,numero,8
2006,numero,24
2006,numero,6
2006,numero,40
2006,estrella,11
2006,estrella,3
2006,numero,48
2006,numero,37
2006,numero,32
2006,numero,30
2006,numero,46
2006,estrella,1
2006,estrella,8
2006,numero,33
2006,numero,46
2006,numero,2
2006,numero,40
2006,numero,22
2006,estrella,9
2006,estrella,6
2006,numero,6
2006,numero,27
2006,numero,49
2006,numero,39
2006,numero,14
2006,estrella,6
2006,estrella,3
2006,numero,8
2006,numero,37
2006,numero,10
2006,numero,5
2006,numero,25
2006,estrella,10
2006,estrella,5
2006,numero,44
2006,numero,32
2006,numero,19
2006,numero,48
2006,numero,43
2006,estrella,7
2006,estrella,4
2006,numero,32
2006,numero,13
2006,numero,7
2006,numero,37
2006,numero,35
2006,estrella,7
2006,estrella,5
2006,numero,3
2006,numero,5
2006,numero,20
2006,numero,29
2006,numero,13
2006,estrella,8
2006,estrella,1
2006,numero,44
2006,numero,4
2006,numero,28
2006,numero,34
2006,numero,5
2006,estrella,8
2006,estrella,10
2006,numero,20
2006,numero,14
2006,numero,42
2006,numero,8
2006,numero,39
2006,estrella,10
2006,estrella,11
2006,numero,21
2006,numero,1
2006,numero,20
2006,numero,31
2006,numero,2
2006,estrella,11
2006,estrella,3
2006,numero,34
2006,numero,22
2006,numero,3
2006,numero,19
2006,numero,48
2006,estrella,12
2006,estrella,7
2006,numero,1
2006,numero,28
2006,numero,9
2006,numero,44
2006,numero,4
2006,estrella,6
2006,estrella,3
2006,numero,11
2006,numero,49
2006,numero,24
2006,numero,50
2006,numero,44
2006,estrella,7
2006,estrella,4
2006,numero,20
2006,numero,47
2006,numero,33
2006,numero,31
2006,numero,14
2006,estrella,1
2006,estrella,2
2006,numero,21
2006,numero,11
2006,numero,4
2006,numero,16
2006,numero,15
2006,estrella,5
2006,estrella,6
2006,numero,39
2006,numero,26
2006,numero,34
2006,numero,41
2006,numero,19
2006,estrella,1
2006,estrella,12
2006,numero,48
2006,numero,13
2006,numero,49
2006,numero,17
2006,numero,5
2006,estrella,9
2006,estrella,4
2006,numero,9
2006,numero,7
2006,numero,27
2006,numero,26
2006,numero,29
2006,estrella,5
2006,estrella,6
2006,numero,36
2006,numero,17
2006,numero,5
2006,numero,45
2006,numero,28
2006,estrella,5
2006,estrella,11
2006,numero,15
2006,numero,28
2006,numero,8
2006,numero,31
2006,numero,16
2006,estrella,2
2006,estrella,12
2006,numero,14
2006,numero,8
2006,numero,22
2006,numero,11
2006,numero,44
2006,estrella,2
2006,estrella,11
2006,numero,23
2006,numero,26
2006,numero,16
2006,numero,13
2006,numero,38
2006,estrella,9
2006,estrella,6
2006,numero,8
2006,numero,6
2006,numero,44
2006,numero,21
2006,numero,27
2006,estrella,8
2006,estrella,7
2006,numero,25
2006,numero,26
2006,numero,5
2006,numero,24
2006,numero,37
2006,estrella,7
2006,estrella,9
2006,numero,12
2006,numero,17
2006,numero,19
2006,numero,45
2006,numero,25
2006,estrella,8
2006,estrella,9
2006,numero,5
2006,numero,35
2006,numero,10
2006,numero,23
2006,numero,42
2006,estrella,12
2006,estrella,10
2006,numero,1
2006,numero,41
2006,numero,22
2006,numero,23
2006,numero,27
2006,estrella,10
2006,estrella,7
2006,numero,48
2006,numero,34
2006,numero,25
2006,numero,11
2006,numero,7
2006,estrella,11
2006,estrella,4
2006,numero,47
2006,numero,26
2006,numero,41
2006,numero,33
2006,numero,7
2006,estrella,10
2006,estrella,4
2007,numero,43
2007,numero,41
2007,numero,26
2007,numero,27
2007,numero,32
2007,estrella,11
2007,estrella,9
2007,numero,14
2007,numero,26
2007,numero,37
2007,numero,5
2007,numero,18
2007,estrella,8
2007,estrella,12
2007,numero,1
2007,numero,24
2007,numero,13
2007,numero,19
2007,numero,32
2007,estrella,5
2007,estrella,3
2007,numero,24
2007,numero,44
2007,numero,19
2007,numero,47
2007,numero,22
2007,estrella,5
2007,estrella,3
2007,numero,3
2007,numero,21
2007,numero,6
2007,numero,49
2007,numero,10
2007,estrella,4
2007,estrella,11
2007,numero,17
2007,numero,19
2007,numero,38
2007,numero,24
2007,numero,2
2007,estrella,8
2007,estrella,2
2007,numero,12
2007,numero,37
2007,numero,25
2007,numero,30
2007,numero,28
2007,estrella,6
2007,estrella,7
2007,numero,7
2007,numero,2
2007,numero,17
2007,numero,12
2007,numero,16
2007,estrella,2
2007,estrella,1
2007,numero,2
2007,numero,7
2007,numero,27
2007,numero,16
2007,numero,12
2007,estrella,4
2007,estrella,8
2007,numero,49
2007,numero,48
2007,numero,12
2007,numero,46
2007,numero,22
2007,estrella,2
2007,estrella,9
2007,numero,28
2007,numero,34
2007,numero,6
2007,numero,8
2007,numero,38
2007,estrella,10
2007,estrella,7
2007,numero,4
2007,numero,29
2007,numero,19
2007,numero,5
2007,numero,41
2007,estrella,10
2007,estrella,5
2007,numero,17
2007,numero,14
2007,numero,8
2007,numero,31
2007,numero,39
2007,estrella,2
2007,estrella,8
2007,numero,3
2007,numero,19
2007,numero,47
2007,numero,41
2007,numero,29
2007,estrella,3
2007,estrella,6
2007,numero,32
2007,numero,50
2007,numero,13
2007,numero,39
2007,numero,17
2007,estrella,8
2007,estrella,9
2007,numero,27
2007,numero,47
2007,numero,21
2007,numero,18
2007,numero,25
2007,estrella,3
2007,estrella,6
2007,numero,41
2007,numero,36
2007,numero,3
2007,numero,6
2007,numero,32
2007,estrella,4
2007,estrella,7
2007,numero,35
2007,numero,49
2007,numero,19
2007,numero,23
2007,numero,28
2007,estrella,10
2007,estrella,4
2007,numero,25
2007,numero,37
2007,numero,42
2007,numero,4
2007,numero,49
2007,estrella,8
2007,estrella,7
2007,numero,33
2007,numero,37
2007,numero,1
2007,numero,49
2007,numero,46
2007,estrella,6
2007,estrella,5
2007,numero,20
2007,numero,5
2007,numero,40
2007,numero,28
2007,numero,6
2007,estrella,9
2007,estrella,1
2007,numero,20
2007,numero,48
2007,numero,16
2007,numero,43
2007,numero,44
2007,estrella,4
2007,estrella,2
2007,numero,36
2007,numero,29
2007,numero,2
2007,numero,9
2007,numero,30
2007,estrella,8
2007,estrella,4
2007,numero,1
2007,numero,7
2007,numero,12
2007,numero,3
2007,numero,33
2007,estrella,3
2007,estrella,5
2007,numero,20
2007,numero,3
2007,numero,47
2007,numero,38
2007,numero,44
2007,estrella,8
2007,estrella,12
2007,numero,7
2007,numero,19
2007,numero,25
2007,numero,15
2007,numero,3
2007,estrella,1
2007,estrella,8
2007,numero,18
2007,numero,41
2007,numero,31
2007,numero,34
2007,numero,12
2007,estrella,3
2007,estrella,12
2007,numero,7
2007,numero,2
2007,numero,43
2007,numero,22
2007,numero,35
2007,estrella,9
2007,estrella,1
2007,numero,3
2007,numero,18
2007,numero,11
2007,numero,21
2007,numero,41
2007,estrella,11
2007,estrella,10
2007,numero,25
2007,numero,23
2007,numero,15
2007,numero,14
2007,numero,19
2007,estrella,9
2007,estrella,4
2007,numero,21
2007,numero,5
2007,numero,25
2007,numero,12
2007,numero,3
2007,estrella,3
2007,estrella,9
2007,numero,13
2007,numero,43
2007,numero,40
2007,numero,30
2007,numero,31
2007,estrella,11
2007,estrella,5
2007,numero,3
2007,numero,6
2007,numero,4
2007,numero,40
2007,numero,44
2007,estrella,12
2007,estrella,2
2007,numero,44
2007,numero,18
2007,numero,31
2007,numero,7
2007,numero,42
2007,estrella,12
2007,estrella,10
2007,numero,23
2007,numero,17
2007,numero,31
2007,numero,38
2007,numero,2
2007,estrella,10
2007,estrella,3
2007,numero,21
2007,numero,34
2007,numero,19
2007,numero,12
2007,numero,25
2007,estrella,5
2007,estrella,6
2007,numero,27
2007,numero,30
2007,numero,35
2007,numero,26
2007,numero,11
2007,estrella,4
2007,estrella,2
2007,numero,11
2007,numero,50
2007,numero,30
2007,numero,16
2007,numero,34
2007,estrella,7
2007,estrella,3
2007,numero,41
2007,numero,40
2007,numero,10
2007,numero,3
2007,numero,21
2007,estrella,3
2007,estrella,11
2007,numero,22
2007,numero,7
2007,numero,45
2007,numero,36
2007,numero,38
2007,estrella,12
2007,estrella,9
2007,numero,29
2007,numero,22
2007,numero,33
2007,numero,37
2007,numero,24
2007,estrella,1
2007,estrella,4
2007,numero,1
2007,numero,38
2007,numero,34
2007,numero,48
2007,numero,27
2007,estrella,9
2007,estrella,5
2007,numero,25
2007,numero,10
2007,numero,17
2007,numero,33
2007,numero,3
2007,estrella,1
2007,estrella,10
2008,numero,46
2008,numero,15
2008,numero,21
2008,numero,11
2008,numero,8
2008,estrella,1
2008,estrella,2
2008,numero,40
2008,numero,47
2008,numero,31
2008,numero,45
2008,numero,12
2008,estrella,11
2008,estrella,3
2008,numero,27
2008,numero,11
2008,numero,28
2008,numero,37
2008,numero,17
2008,estrella,12
2008,estrella,4
2008,numero,45
2008,numero,48
2008,numero,34
2008,numero,33
2008,numero,50
2008,estrella,11
2008,estrella,1
2008,numero,3
2008,numero,27
2008,numero,15
2008,numero,44
2008,numero,30
2008,estrella,12
2008,estrella,4
2008,numero,49
2008,numero,29
2008,numero,18
2008,numero,43
2008,numero,34
2008,estrella,5
2008,estrella,4
2008,numero,43
2008,numero,32
2008,numero,4
2008,numero,27
2008,numero,41
2008,estrella,12
2008,estrella,5
2008,numero,33
2008,numero,8
2008,numero,43
2008,numero,23
2008,numero,21
2008,estrella,11
2008,estrella,8
2008,numero,29
2008,numero,16
2008,numero,21
2008,numero,9
2008,numero,22
2008,estrella,12
2008,estrella,4
2008,numero,42
2008,numero,17
2008,numero,49
2008,numero,13
2008,numero,21
2008,estrella,7
2008,estrella,3
2008,numero,22
2008,numero,35
2008,numero,30
2008,numero,42
2008,numero,3
2008,estrella,8
2008,estrella,7
2008,numero,24
2008,numero,46
2008,numero,26
2008,numero,37
2008,numero,8
2008,estrella,10
2008,estrella,8
2008,numero,3
2008,numero,8
2008,numero,7
2008,numero,34
2008,numero,36
2008,estrella,12
2008,estrella,8
2008,numero,7
2008,numero,15
2008,numero,3
2008,numero,6
2008,numero,41
2008,estrella,8
2008,estrella,2
2008,numero,30
2008,numero,28
2008,numero,35
2008,numero,18
2008,numero,8
2008,estrella,1
2008,estrella,9
2008,numero,14
2008,numero,22
2008,numero,32
2008,numero,41
2008,numero,3
2008,estrella,9
2008,estrella,5
2008,numero,45
2008,numero,22
2008,numero,8
2008,numero,39
2008,numero,18
2008,estrella,3
2008,estrella,10
2008,numero,9
2008,numero,35
2008,numero,36
2008,numero,26
2008,numero,14
2008,estrella,3
2008,estrella,12
2008,numero,37
2008,numero,47
2008,numero,45
2008,numero,12
2008,numero,17
2008,estrella,9
2008,estrella,10
2008,numero,36
2008,numero,34
2008,numero,32
2008,numero,13
2008,numero,21
2008,estrella,5
2008,estrella,8
2008,numero,40
2008,numero,8
2008,numero,23
2008,numero,7
2008,numero,24
2008,estrella,1
2008,estrella,4
2008,numero,22
2008,numero,16
2008,numero,2
2008,numero,44
2008,numero,38
2008,estrella,2
2008,estrella,6
2008,numero,14
2008,numero,2
2008,numero,34
2008,numero,35
2008,numero,42
2008,estrella,1
2008,estrella,5
2008,numero,4
2008,numero,8
2008,numero,16
2008,numero,12
2008,numero,3
2008,estrella,8
2008,estrella,3
2008,numero,22
2008,numero,44
2008,numero,5
2008,numero,35
2008,numero,45
2008,estrella,2
2008,estrella,11
2008,numero,25
2008,numero,22
2008,numero,37
2008,numero,14
2008,numero,36
2008,estrella,6
2008,estrella,7
2008,numero,11
2008,numero,35
2008,numero,4
2008,numero,20
2008,numero,23
2008,estrella,12
2008,estrella,4
2008,numero,32
2008,numero,1
2008,numero,38
2008,numero,4
2008,numero,9
2008,estrella,8
2008,estrella,2
2008,numero,42
2008,numero,6
2008,numero,5
2008,numero,17
2008,numero,14
2008,estrella,6
2008,estrella,11
2008,numero,31
2008,numero,20
2008,numero,10
2008,numero,22
2008,numero,42
2008,estrella,9
2008,estrella,3
2008,numero,49
2008,numero,43
2008,numero,42
2008,numero,23
2008,numero,35
2008,estrella,2
2008,estrella,8
2008,numero,44
2008,numero,7
2008,numero,30
2008,numero,41
2008,numero,8
2008,estrella,6
2008,estrella,9
2008,numero,4
2008,numero,30
2008,numero,38
2008,numero,32
2008,numero,18
2008,estrella,12
2008,estrella,10
2008,numero,43
2008,numero,2
2008,numero,16
2008,numero,17
2008,numero,4
2008,estrella,8
2008,estrella,12
2008,numero,30
2008,numero,46
2008,numero,20
2008,numero,15
2008,numero,18
2008,estrella,9
2008,estrella,1
2008,numero,19
2008,numero,30
2008,numero,10
2008,numero,21
2008,numero,40
2008,estrella,6
2008,estrella,10
2008,numero,15
2008,numero,2
2008,numero,24
2008,numero,33
2008,numero,13
2008,estrella,3
2008,estrella,11
2008,numero,14
2008,numero,45
2008,numero,33
2008,numero,8
2008,numero,18
2008,estrella,10
2008,estrella,9
2008,numero,14
2008,numero,48
2008,numero,6
2008,numero,35
2008,numero,32
2008,estrella,5
2008,estrella,10
2008,numero,20
2008,numero,10
2008,numero,27
2008,numero,25
2008,numero,39
2008,estrella,12
2008,estrella,7
2008,numero,20
2008,numero,9
2008,numero,8
2008,numero,22
2008,numero,5
2008,estrella,5
2008,estrella,1
2008,numero,11
2008,numero,36
2008,numero,31
2008,numero,39
2008,numero,35
2008,estrella,2
2008,estrella,8
2008,numero,14
2008,numero,33
2008,numero,25
2008,numero,10
2008,numero,24
2008,estrella,4
2008,estrella,3
2008,numero,8
2008,numero,31
2008,numero,1
2008,numero,25
2008,numero,24
2008,estrella,8
2008,estrella,5
2008,numero,16
2008,numero,35
2008,numero,4
2008,numero,17
2008,numero,33
2008,estrella,3
2008,estrella,1
2008,numero,44
2008,numero,15
2008,numero,10
2008,numero,25
2008,numero,37
2008,estrella,11
2008,estrella,6
2008,numero,31
2008,numero,30
2008,numero,34
2008,numero,48
2008,numero,47
2008,estrella,9
2008,estrella,4
2008,numero,29
2008,numero,17
2008,numero,36
2008,numero,50
2008,numero,10
2008,estrella,3
2008,estrella,5
